Divisao,N_Arvores,Acuracia,Precisao,Recall,F1_Score,Falsos_Positivos,Falsos_Negativos
70-30,100,0.9537,0.9628,0.9579,0.9604,29,33
70-30,150,0.9552,0.9653,0.9579,0.9616,27,33
70-30,200,0.9567,0.9666,0.9592,0.9629,26,32
70-30,250,0.9567,0.9654,0.9605,0.9629,27,31
70-30,300,0.9567,0.9642,0.9617,0.963,28,30
70-30,350,0.9567,0.9654,0.9605,0.9629,27,31
70-30,400,0.9575,0.9666,0.9605,0.9635,26,31
70-30,450,0.9582,0.9667,0.9617,0.9642,26,30
70-30,500,0.9575,0.9654,0.9617,0.9636,27,30
80-20,100,0.9597,0.9598,0.9709,0.9653,21,15
80-20,150,0.9619,0.9635,0.9709,0.9672,19,15
80-20,200,0.9608,0.9616,0.9709,0.9662,20,15
80-20,250,0.9608,0.9616,0.9709,0.9662,20,15
80-20,300,0.9608,0.9616,0.9709,0.9662,20,15
80-20,350,0.9597,0.9615,0.969,0.9653,20,16
80-20,400,0.9597,0.9615,0.969,0.9653,20,16
80-20,450,0.9597,0.9615,0.969,0.9653,20,16
80-20,500,0.9586,0.9597,0.969,0.9643,21,16
